Species,Num_Pairs,Gene_length
Lipotes_vexillifer,106.0,475.0
Lipotes_vexillifer,93.0,384.0
Lipotes_vexillifer,348.0,1614.0
Lipotes_vexillifer,203.0,812.0
Lipotes_vexillifer,35.0,155.0
Lipotes_vexillifer,94.0,396.0
Lipotes_vexillifer,236.0,928.0
Lipotes_vexillifer,89.0,299.0
Lipotes_vexillifer,81.0,341.0
Lipotes_vexillifer,38.0,225.0
Lipotes_vexillifer,139.0,587.0
Lipotes_vexillifer,83.0,372.0
Lipotes_vexillifer,87.0,321.0
Lipotes_vexillifer,47.0,214.0
Lipotes_vexillifer,30.0,134.0
Lipotes_vexillifer,52.0,247.0
Lipotes_vexillifer,148.0,591.0
Lipotes_vexillifer,84.0,343.0
Lipotes_vexillifer,81.0,413.0
Lipotes_vexillifer,35.0,182.0
Lipotes_vexillifer,134.0,617.0
Lipotes_vexillifer,65.0,274.0
Lipotes_vexillifer,105.0,568.0
Lipotes_vexillifer,33.0,184.0
Lipotes_vexillifer,146.0,534.0
Lipotes_vexillifer,152.0,585.0
Lipotes_vexillifer,62.0,243.0
Lipotes_vexillifer,44.0,186.0
Lipotes_vexillifer,86.0,382.0
Lipotes_vexillifer,20.0,102.0
Lipotes_vexillifer,110.0,474.0
Lipotes_vexillifer,271.0,1247.0
Lipotes_vexillifer,123.0,433.0
Lipotes_vexillifer,42.0,229.0
Lipotes_vexillifer,73.0,294.0
Lipotes_vexillifer,156.0,630.0
Lipotes_vexillifer,138.0,605.0
Lipotes_vexillifer,131.0,396.0
Lipotes_vexillifer,201.0,857.0
Lipotes_vexillifer,85.0,362.0
Lipotes_vexillifer,186.0,1052.0
Lipotes_vexillifer,124.0,886.0
Lipotes_vexillifer,85.0,263.0
Lipotes_vexillifer,26.0,135.0
Lipotes_vexillifer,34.0,138.0
Lipotes_vexillifer,80.0,234.0
Lipotes_vexillifer,348.0,1254.0
Lipotes_vexillifer,379.0,1348.0
Lipotes_vexillifer,154.0,559.0
Lipotes_vexillifer,53.0,256.0
Lipotes_vexillifer,483.0,1818.0
Lipotes_vexillifer,211.0,941.0
Lipotes_vexillifer,66.0,290.0
Lipotes_vexillifer,64.0,274.0
Lipotes_vexillifer,56.0,284.0
Lipotes_vexillifer,162.0,697.0
Lipotes_vexillifer,87.0,399.0
Lipotes_vexillifer,40.0,133.0
Lipotes_vexillifer,104.0,509.0
Lipotes_vexillifer,60.0,342.0
Lipotes_vexillifer,109.0,385.0
Lipotes_vexillifer,168.0,690.0
Lipotes_vexillifer,35.0,131.0
Lipotes_vexillifer,72.0,268.0
Lipotes_vexillifer,64.0,169.0
Lipotes_vexillifer,42.0,191.0
Lipotes_vexillifer,47.0,263.0
Lipotes_vexillifer,45.0,163.0
Lipotes_vexillifer,986.0,2987.0
Lipotes_vexillifer,28.0,111.0
Lipotes_vexillifer,144.0,504.0
Lipotes_vexillifer,69.0,318.0
Lipotes_vexillifer,23.0,119.0
Lipotes_vexillifer,293.0,936.0
Lipotes_vexillifer,37.0,178.0
Lipotes_vexillifer,132.0,505.0
Lipotes_vexillifer,178.0,682.0
Lipotes_vexillifer,373.0,1622.0
Lipotes_vexillifer,227.0,1036.0
Lipotes_vexillifer,90.0,395.0
Lipotes_vexillifer,304.0,1343.0
Lipotes_vexillifer,197.0,994.0
Lipotes_vexillifer,186.0,1001.0
Lipotes_vexillifer,290.0,1179.0
Lipotes_vexillifer,272.0,1180.0
Lipotes_vexillifer,175.0,644.0
Lipotes_vexillifer,228.0,1034.0
Lipotes_vexillifer,256.0,1054.0
Lipotes_vexillifer,55.0,219.0
Lipotes_vexillifer,247.0,1138.0
Lipotes_vexillifer,109.0,399.0
Lipotes_vexillifer,436.0,1863.0
Lipotes_vexillifer,51.0,196.0
Lipotes_vexillifer,479.0,1908.0
Lipotes_vexillifer,104.0,397.0
Lipotes_vexillifer,125.0,528.0
Lipotes_vexillifer,73.0,217.0
Lipotes_vexillifer,89.0,379.0
Lipotes_vexillifer,67.0,320.0
