Species,Num_Pairs,Gene_length
Lipotes_vexillifer,31,475.0
Lipotes_vexillifer,30,384.0
Lipotes_vexillifer,47,1614.0
Lipotes_vexillifer,44,812.0
Lipotes_vexillifer,20,155.0
Lipotes_vexillifer,24,396.0
Lipotes_vexillifer,40,928.0
Lipotes_vexillifer,27,299.0
Lipotes_vexillifer,32,341.0
Lipotes_vexillifer,20,225.0
Lipotes_vexillifer,41,587.0
Lipotes_vexillifer,31,372.0
Lipotes_vexillifer,23,321.0
Lipotes_vexillifer,15,214.0
Lipotes_vexillifer,14,134.0
Lipotes_vexillifer,22,247.0
Lipotes_vexillifer,29,591.0
Lipotes_vexillifer,27,343.0
Lipotes_vexillifer,23,413.0
Lipotes_vexillifer,19,182.0
Lipotes_vexillifer,25,617.0
Lipotes_vexillifer,23,274.0
Lipotes_vexillifer,29,568.0
Lipotes_vexillifer,17,184.0
Lipotes_vexillifer,32,534.0
Lipotes_vexillifer,25,585.0
Lipotes_vexillifer,21,243.0
Lipotes_vexillifer,17,186.0
Lipotes_vexillifer,32,382.0
Lipotes_vexillifer,12,102.0
Lipotes_vexillifer,30,474.0
Lipotes_vexillifer,36,1247.0
Lipotes_vexillifer,34,433.0
Lipotes_vexillifer,23,229.0
Lipotes_vexillifer,31,294.0
Lipotes_vexillifer,32,630.0
Lipotes_vexillifer,37,605.0
Lipotes_vexillifer,28,396.0
Lipotes_vexillifer,37,857.0
Lipotes_vexillifer,27,362.0
Lipotes_vexillifer,31,1052.0
Lipotes_vexillifer,30,886.0
Lipotes_vexillifer,23,263.0
Lipotes_vexillifer,15,135.0
Lipotes_vexillifer,11,138.0
Lipotes_vexillifer,15,234.0
Lipotes_vexillifer,47,1254.0
Lipotes_vexillifer,34,1348.0
Lipotes_vexillifer,27,559.0
Lipotes_vexillifer,23,256.0
Lipotes_vexillifer,50,1818.0
Lipotes_vexillifer,45,941.0
Lipotes_vexillifer,18,290.0
Lipotes_vexillifer,21,274.0
Lipotes_vexillifer,21,284.0
Lipotes_vexillifer,38,697.0
Lipotes_vexillifer,24,399.0
Lipotes_vexillifer,11,133.0
Lipotes_vexillifer,29,509.0
Lipotes_vexillifer,29,342.0
Lipotes_vexillifer,35,385.0
Lipotes_vexillifer,33,690.0
Lipotes_vexillifer,14,131.0
Lipotes_vexillifer,23,268.0
Lipotes_vexillifer,14,169.0
Lipotes_vexillifer,17,191.0
Lipotes_vexillifer,25,263.0
Lipotes_vexillifer,21,163.0
Lipotes_vexillifer,49,2987.0
Lipotes_vexillifer,11,111.0
Lipotes_vexillifer,31,504.0
Lipotes_vexillifer,28,318.0
Lipotes_vexillifer,12,119.0
Lipotes_vexillifer,42,936.0
Lipotes_vexillifer,17,178.0
Lipotes_vexillifer,37,505.0
Lipotes_vexillifer,31,682.0
Lipotes_vexillifer,51,1622.0
Lipotes_vexillifer,44,1036.0
Lipotes_vexillifer,35,395.0
Lipotes_vexillifer,47,1343.0
Lipotes_vexillifer,39,994.0
Lipotes_vexillifer,38,1001.0
Lipotes_vexillifer,48,1179.0
Lipotes_vexillifer,45,1180.0
Lipotes_vexillifer,30,644.0
Lipotes_vexillifer,47,1034.0
Lipotes_vexillifer,36,1054.0
Lipotes_vexillifer,18,219.0
Lipotes_vexillifer,39,1138.0
Lipotes_vexillifer,31,399.0
Lipotes_vexillifer,47,1863.0
Lipotes_vexillifer,17,196.0
Lipotes_vexillifer,48,1908.0
Lipotes_vexillifer,33,397.0
Lipotes_vexillifer,26,528.0
Lipotes_vexillifer,18,217.0
Lipotes_vexillifer,27,379.0
Lipotes_vexillifer,22,320.0
