Species,Num_Pairs,Gene_length
Lipotes_vexillifer,19,475.0
Lipotes_vexillifer,16,384.0
Lipotes_vexillifer,20,1614.0
Lipotes_vexillifer,20,812.0
Lipotes_vexillifer,17,155.0
Lipotes_vexillifer,18,396.0
Lipotes_vexillifer,19,928.0
Lipotes_vexillifer,17,299.0
Lipotes_vexillifer,17,341.0
Lipotes_vexillifer,15,225.0
Lipotes_vexillifer,19,587.0
Lipotes_vexillifer,17,372.0
Lipotes_vexillifer,17,321.0
Lipotes_vexillifer,16,214.0
Lipotes_vexillifer,15,134.0
Lipotes_vexillifer,16,247.0
Lipotes_vexillifer,16,591.0
Lipotes_vexillifer,16,343.0
Lipotes_vexillifer,19,413.0
Lipotes_vexillifer,15,182.0
Lipotes_vexillifer,19,617.0
Lipotes_vexillifer,16,274.0
Lipotes_vexillifer,18,568.0
Lipotes_vexillifer,16,184.0
Lipotes_vexillifer,16,534.0
Lipotes_vexillifer,17,585.0
Lipotes_vexillifer,14,243.0
Lipotes_vexillifer,13,186.0
Lipotes_vexillifer,19,382.0
Lipotes_vexillifer,12,102.0
Lipotes_vexillifer,18,474.0
Lipotes_vexillifer,18,1247.0
Lipotes_vexillifer,19,433.0
Lipotes_vexillifer,19,229.0
Lipotes_vexillifer,17,294.0
Lipotes_vexillifer,19,630.0
Lipotes_vexillifer,19,605.0
Lipotes_vexillifer,16,396.0
Lipotes_vexillifer,19,857.0
Lipotes_vexillifer,16,362.0
Lipotes_vexillifer,18,1052.0
Lipotes_vexillifer,20,886.0
Lipotes_vexillifer,13,263.0
Lipotes_vexillifer,15,135.0
Lipotes_vexillifer,15,138.0
Lipotes_vexillifer,11,234.0
Lipotes_vexillifer,20,1254.0
Lipotes_vexillifer,12,1348.0
Lipotes_vexillifer,17,559.0
Lipotes_vexillifer,17,256.0
Lipotes_vexillifer,20,1818.0
Lipotes_vexillifer,20,941.0
Lipotes_vexillifer,14,290.0
Lipotes_vexillifer,16,274.0
Lipotes_vexillifer,17,284.0
Lipotes_vexillifer,19,697.0
Lipotes_vexillifer,18,399.0
Lipotes_vexillifer,11,133.0
Lipotes_vexillifer,17,509.0
Lipotes_vexillifer,19,342.0
Lipotes_vexillifer,19,385.0
Lipotes_vexillifer,17,690.0
Lipotes_vexillifer,14,131.0
Lipotes_vexillifer,17,268.0
Lipotes_vexillifer,13,169.0
Lipotes_vexillifer,15,191.0
Lipotes_vexillifer,19,263.0
Lipotes_vexillifer,15,163.0
Lipotes_vexillifer,20,2987.0
Lipotes_vexillifer,9,111.0
Lipotes_vexillifer,15,504.0
Lipotes_vexillifer,18,318.0
Lipotes_vexillifer,14,119.0
Lipotes_vexillifer,20,936.0
Lipotes_vexillifer,14,178.0
Lipotes_vexillifer,19,505.0
Lipotes_vexillifer,18,682.0
Lipotes_vexillifer,19,1622.0
Lipotes_vexillifer,20,1036.0
Lipotes_vexillifer,20,395.0
Lipotes_vexillifer,18,1343.0
Lipotes_vexillifer,20,994.0
Lipotes_vexillifer,20,1001.0
Lipotes_vexillifer,19,1179.0
Lipotes_vexillifer,20,1180.0
Lipotes_vexillifer,19,644.0
Lipotes_vexillifer,19,1034.0
Lipotes_vexillifer,19,1054.0
Lipotes_vexillifer,17,219.0
Lipotes_vexillifer,20,1138.0
Lipotes_vexillifer,18,399.0
Lipotes_vexillifer,20,1863.0
Lipotes_vexillifer,16,196.0
Lipotes_vexillifer,20,1908.0
Lipotes_vexillifer,17,397.0
Lipotes_vexillifer,20,528.0
Lipotes_vexillifer,15,217.0
Lipotes_vexillifer,18,379.0
Lipotes_vexillifer,16,320.0
