Species,Num_Pairs,Gene_length
Lipotes_vexillifer,186.0,475.0
Lipotes_vexillifer,165.0,384.0
Lipotes_vexillifer,617.0,1614.0
Lipotes_vexillifer,374.0,812.0
Lipotes_vexillifer,67.0,155.0
Lipotes_vexillifer,160.0,396.0
Lipotes_vexillifer,457.0,928.0
Lipotes_vexillifer,138.0,299.0
Lipotes_vexillifer,149.0,341.0
Lipotes_vexillifer,89.0,225.0
Lipotes_vexillifer,245.0,587.0
Lipotes_vexillifer,154.0,372.0
Lipotes_vexillifer,142.0,321.0
Lipotes_vexillifer,78.0,214.0
Lipotes_vexillifer,55.0,134.0
Lipotes_vexillifer,97.0,247.0
Lipotes_vexillifer,274.0,591.0
Lipotes_vexillifer,136.0,343.0
Lipotes_vexillifer,148.0,413.0
Lipotes_vexillifer,74.0,182.0
Lipotes_vexillifer,243.0,617.0
Lipotes_vexillifer,125.0,274.0
Lipotes_vexillifer,215.0,568.0
Lipotes_vexillifer,75.0,184.0
Lipotes_vexillifer,263.0,534.0
Lipotes_vexillifer,303.0,585.0
Lipotes_vexillifer,141.0,243.0
Lipotes_vexillifer,78.0,186.0
Lipotes_vexillifer,159.0,382.0
Lipotes_vexillifer,45.0,102.0
Lipotes_vexillifer,199.0,474.0
Lipotes_vexillifer,524.0,1247.0
Lipotes_vexillifer,215.0,433.0
Lipotes_vexillifer,83.0,229.0
Lipotes_vexillifer,119.0,294.0
Lipotes_vexillifer,289.0,630.0
Lipotes_vexillifer,260.0,605.0
Lipotes_vexillifer,192.0,396.0
Lipotes_vexillifer,382.0,857.0
Lipotes_vexillifer,150.0,362.0
Lipotes_vexillifer,424.0,1052.0
Lipotes_vexillifer,308.0,886.0
Lipotes_vexillifer,131.0,263.0
Lipotes_vexillifer,49.0,135.0
Lipotes_vexillifer,48.0,138.0
Lipotes_vexillifer,143.0,234.0
Lipotes_vexillifer,543.0,1254.0
Lipotes_vexillifer,719.0,1348.0
Lipotes_vexillifer,274.0,559.0
Lipotes_vexillifer,119.0,256.0
Lipotes_vexillifer,798.0,1818.0
Lipotes_vexillifer,435.0,941.0
Lipotes_vexillifer,108.0,290.0
Lipotes_vexillifer,126.0,274.0
Lipotes_vexillifer,120.0,284.0
Lipotes_vexillifer,276.0,697.0
Lipotes_vexillifer,189.0,399.0
Lipotes_vexillifer,63.0,133.0
Lipotes_vexillifer,205.0,509.0
Lipotes_vexillifer,126.0,342.0
Lipotes_vexillifer,174.0,385.0
Lipotes_vexillifer,358.0,690.0
Lipotes_vexillifer,64.0,131.0
Lipotes_vexillifer,115.0,268.0
Lipotes_vexillifer,82.0,169.0
Lipotes_vexillifer,87.0,191.0
Lipotes_vexillifer,107.0,263.0
Lipotes_vexillifer,81.0,163.0
Lipotes_vexillifer,1564.0,2987.0
Lipotes_vexillifer,60.0,111.0
Lipotes_vexillifer,232.0,504.0
Lipotes_vexillifer,136.0,318.0
Lipotes_vexillifer,39.0,119.0
Lipotes_vexillifer,457.0,936.0
Lipotes_vexillifer,91.0,178.0
Lipotes_vexillifer,207.0,505.0
Lipotes_vexillifer,327.0,682.0
Lipotes_vexillifer,662.0,1622.0
Lipotes_vexillifer,406.0,1036.0
Lipotes_vexillifer,150.0,395.0
Lipotes_vexillifer,524.0,1343.0
Lipotes_vexillifer,403.0,994.0
Lipotes_vexillifer,406.0,1001.0
Lipotes_vexillifer,454.0,1179.0
Lipotes_vexillifer,467.0,1180.0
Lipotes_vexillifer,344.0,644.0
Lipotes_vexillifer,381.0,1034.0
Lipotes_vexillifer,436.0,1054.0
Lipotes_vexillifer,91.0,219.0
Lipotes_vexillifer,475.0,1138.0
Lipotes_vexillifer,177.0,399.0
Lipotes_vexillifer,759.0,1863.0
Lipotes_vexillifer,78.0,196.0
Lipotes_vexillifer,778.0,1908.0
Lipotes_vexillifer,164.0,397.0
Lipotes_vexillifer,247.0,528.0
Lipotes_vexillifer,98.0,217.0
Lipotes_vexillifer,194.0,379.0
Lipotes_vexillifer,125.0,320.0
