Species,Num_Pairs,Gene_length
Lipotes_vexillifer,87.0,475.0
Lipotes_vexillifer,75.0,384.0
Lipotes_vexillifer,277.0,1614.0
Lipotes_vexillifer,187.0,812.0
Lipotes_vexillifer,31.0,155.0
Lipotes_vexillifer,70.0,396.0
Lipotes_vexillifer,241.0,928.0
Lipotes_vexillifer,57.0,299.0
Lipotes_vexillifer,77.0,341.0
Lipotes_vexillifer,57.0,225.0
Lipotes_vexillifer,117.0,587.0
Lipotes_vexillifer,67.0,372.0
Lipotes_vexillifer,58.0,321.0
Lipotes_vexillifer,32.0,214.0
Lipotes_vexillifer,26.0,134.0
Lipotes_vexillifer,44.0,247.0
Lipotes_vexillifer,133.0,591.0
Lipotes_vexillifer,66.0,343.0
Lipotes_vexillifer,68.0,413.0
Lipotes_vexillifer,35.0,182.0
Lipotes_vexillifer,115.0,617.0
Lipotes_vexillifer,61.0,274.0
Lipotes_vexillifer,108.0,568.0
Lipotes_vexillifer,44.0,184.0
Lipotes_vexillifer,131.0,534.0
Lipotes_vexillifer,178.0,585.0
Lipotes_vexillifer,92.0,243.0
Lipotes_vexillifer,38.0,186.0
Lipotes_vexillifer,84.0,382.0
Lipotes_vexillifer,25.0,102.0
Lipotes_vexillifer,98.0,474.0
Lipotes_vexillifer,264.0,1247.0
Lipotes_vexillifer,106.0,433.0
Lipotes_vexillifer,42.0,229.0
Lipotes_vexillifer,55.0,294.0
Lipotes_vexillifer,154.0,630.0
Lipotes_vexillifer,128.0,605.0
Lipotes_vexillifer,73.0,396.0
Lipotes_vexillifer,188.0,857.0
Lipotes_vexillifer,83.0,362.0
Lipotes_vexillifer,244.0,1052.0
Lipotes_vexillifer,192.0,886.0
Lipotes_vexillifer,56.0,263.0
Lipotes_vexillifer,24.0,135.0
Lipotes_vexillifer,15.0,138.0
Lipotes_vexillifer,92.0,234.0
Lipotes_vexillifer,230.0,1254.0
Lipotes_vexillifer,391.0,1348.0
Lipotes_vexillifer,138.0,559.0
Lipotes_vexillifer,78.0,256.0
Lipotes_vexillifer,348.0,1818.0
Lipotes_vexillifer,235.0,941.0
Lipotes_vexillifer,47.0,290.0
Lipotes_vexillifer,69.0,274.0
Lipotes_vexillifer,63.0,284.0
Lipotes_vexillifer,116.0,697.0
Lipotes_vexillifer,115.0,399.0
Lipotes_vexillifer,24.0,133.0
Lipotes_vexillifer,103.0,509.0
Lipotes_vexillifer,68.0,342.0
Lipotes_vexillifer,72.0,385.0
Lipotes_vexillifer,206.0,690.0
Lipotes_vexillifer,30.0,131.0
Lipotes_vexillifer,54.0,268.0
Lipotes_vexillifer,26.0,169.0
Lipotes_vexillifer,45.0,191.0
Lipotes_vexillifer,63.0,263.0
Lipotes_vexillifer,40.0,163.0
Lipotes_vexillifer,668.0,2987.0
Lipotes_vexillifer,32.0,111.0
Lipotes_vexillifer,97.0,504.0
Lipotes_vexillifer,68.0,318.0
Lipotes_vexillifer,19.0,119.0
Lipotes_vexillifer,187.0,936.0
Lipotes_vexillifer,57.0,178.0
Lipotes_vexillifer,85.0,505.0
Lipotes_vexillifer,167.0,682.0
Lipotes_vexillifer,296.0,1622.0
Lipotes_vexillifer,195.0,1036.0
Lipotes_vexillifer,66.0,395.0
Lipotes_vexillifer,233.0,1343.0
Lipotes_vexillifer,211.0,994.0
Lipotes_vexillifer,223.0,1001.0
Lipotes_vexillifer,173.0,1179.0
Lipotes_vexillifer,214.0,1180.0
Lipotes_vexillifer,198.0,644.0
Lipotes_vexillifer,152.0,1034.0
Lipotes_vexillifer,193.0,1054.0
Lipotes_vexillifer,39.0,219.0
Lipotes_vexillifer,238.0,1138.0
Lipotes_vexillifer,68.0,399.0
Lipotes_vexillifer,349.0,1863.0
Lipotes_vexillifer,31.0,196.0
Lipotes_vexillifer,334.0,1908.0
Lipotes_vexillifer,70.0,397.0
Lipotes_vexillifer,127.0,528.0
Lipotes_vexillifer,32.0,217.0
Lipotes_vexillifer,120.0,379.0
Lipotes_vexillifer,61.0,320.0
